,repo_name,topics
29,nevalang/neva,"['compiler', 'flow-based-programming', 'golang', 'visual-programming', 'nevalang', 'concurrent-programing', 'dataflow-compiler', 'dataflow-programming', 'fbp', 'fbp-compiler', 'fbp-runtime', 'flow-based', 'functional-programming', 'go', 'neva', 'programming-language', 'reactive-programming', 'visual-programming-editor', 'visual-programming-language', 'dataflow-runtime']"
30,antonmi/Strom,"['beam', 'elixir', 'flow-based-programming', 'stream-p']"
31,google/blockly-samples,"['blockly', 'samples', 'react', 'angular', 'node', 'webpack', 'requirejs', 'vue', 'svelte']"
32,BugelNiels/nitro,"['cmake', 'cpp', 'dataflow', 'dataflow-programming', 'editor', 'flow-based-programming', 'graph', 'graphics', 'image-processing', 'node', 'node-editor', 'qt', 'visual-programming']"
33,lsds/SEEP,"['dataflow-programming', 'stateful', 'sdg', 'cluster-computing']"
34,Todense/OmniGraph,"['java', 'javafx', 'javafx-desktop-apps', 'graph', 'algorithm-visualisation', 'graph-drawing', 'graph-editor', 'graph-theory', 'javafx-application', 'javafx-project', 'ant-colony-algorithms', 'creating-graphs']"
35,akimach/EsotericTensorFlow,"['tensorflow', 'tensorflow-examples', 'brainfuck', 'hq9', 'algorithm', 'python', 'esoteric-language', 'dataflow-programming', 'algorithms-implemented', 'tensorflow-graph', 'sort', 'tutorial', 'examples', 'deep-learning', 'machine-learning']"
36,cuinjune/Ofelia,"['ofelia', 'openframeworks', 'puredata', 'creative-coding', 'cross-platform', 'standalone', 'multimedia-applications', 'graphics', 'opengl', 'lua', 'scripting-language', 'visual-programming-language', 'audiovisual', 'pd-externals', 'openframeworks-addon', 'web-application', 'webgl', 'raspberry-pi']"
37,AlvarBer/Persimmon,"['visual-interface', 'visual-programming', 'dataflow-programming']"
38,andrew-johnson-4/perplexity,"['documentation', 'domain-specific-language', 'lambda-calculus', 'visual-programming', 'diagramming', 'modelling', 'neural-network', 'category-theory']"
39,Roniasoft/NodeLink,"['dataflow-programming', 'model-view', 'qml', 'qt', 'qt6']"
40,cneben/QuickQanava,"['graph', 'dataflow-programming', 'graphs', 'qml', 'cpp-library', 'qt-containers', 'graph-visualization', 'complex-networks', 'graph-theory', 'cpp', 'qt', 'visualization']"
41,ioBroker/ioBroker.javascript,"['iobroker', 'smarthome', 'home-automation', 'script-engine', 'blockly', 'javascript']"
42,gpospelov/qt-mvvm,"['qt-applications', 'viewmodel-framework', 'qt5', 'mvvm', 'cmake', 'multi-platform', 'node-editor', 'property-editor']"
43,HPI-ELEA/elea,"['blockly', 'evolutionary-algorithms']"
44,tdh8316/Guico,"['python', 'qt', 'qt5', 'pyqt', 'pyqt5', 'visual-programming', 'visual-programming-language']"
45,ern0/dataflow-editor-concept,"['concept', 'dataflow', 'dataflow-programming', 'visual-programming', 'svg', 'editor', 'raphael-js']"
46,mlr-org/mlr3pipelines,"['mlr3', 'machine-learning', 'pipelines', 'preprocessing', 'bagging', 'stacking', 'ensemble-learning', 'r', 'dataflow-programming', 'r-package', 'data-science']"
47,pouyakary/Orchestra,"['orchestra', 'regexp', 'orchestra-language', 'compiler', 'ide', 'readability', 'electron', 'visual-language', 'monaco-editor', 'editor', 'blockly', 'kf-ui5', 'regular-expression', 'kary-comments', 'regex', 'regular-languages', 'regular-expression-engine', 'visual-languages', 'kary-coding-umbrella']"
48,chigraph/chigraph,"['language', 'language-learning', 'learn-to-code', 'chigraph', 'dataflow-programming', 'dataflow', 'llvm']"
49,flojoy-ai/studio,"['python', 'visual-programming', 'visual-scripting']"
50,ricochet1k/vue-blocks,"['vue2', 'blockly']"
51,wieslawsoltes/NodeEditor,"['avalonia', 'avaloniaui', 'node-editor', 'graph', 'graph-control', 'logic-diagram']"
52,CheshireCaat/bas-remote-python,"['bas', 'bas-remote', 'bas-client', 'bas-remote-control', 'bas-remote-client', 'automation', 'cef', 'browser', 'macros', 'visual-programming-language', 'bot', 'bot-framework', 'poster', 'grabber', 'ide', 'windows', 'desktop', 'chromium', 'imacros', 'browserautomationstudio']"
53,SanForgeStudio/LuaNodeEditor,"['ide', 'lua', 'node-editor', 'tool', 'visualprogramming', 'flow-node']"
54,jerosoler/drawflow-minimap-example,"['drawflow', 'minimap', 'dataflow', 'dataflow-programming', 'graph-editor']"
55,knights-dev/knights,"['functional', 'visual-programming-language']"
56,honix/Lire,"['lisp', 'visual-programming']"
57,vvvv/VL.IO.NDI,"['vvvv', 'vl', 'ndi', 'csharp', 'video', 'visual-programming']"
58,GoogleCloudPlatform/dialogflow-log-parser-dataflow-bigquery,"['dialogflow', 'dataflow-programming', 'stackdriver-logs', 'google-cloud', 'bigquery']"
59,cross-platform/dspatcher,"['stream-processing', 'reactive-programming', 'dataflow', 'dataflow-programming', 'pipelines', 'pipelining', 'flow-based-programming', 'data-driven', 'cross-platform', 'fbp', 'graph-processing', 'patching', 'cpp', 'data-flow']"
60,martinnormark/ng-nodez,"['angular', 'angular-cli', 'visual-editor', 'graph-editor', 'node-editor', 'javascript', 'workflow']"
61,limichange/zaku,"['jsx', 'react', 'editor', 'ui-builder', 'electron', 'visual-studio', 'visual-programming']"
62,haroldo-ok/BlocklyVN8bit,"['8bit-computers', 'visual-scripting-language', 'visual-novels', 'c64', 'atari800', 'atari-lynx', 'multiplatform', 'electron', 'ide', 'homebrew', 'retrogaming', 'blockly', 'visual-language', 'visual-programming-language', 'adventure-game', 'choose-your-own-adventure']"
63,robokoding/sumorobot-blockly,"['blockly', 'sumorobot', 'javascript']"
64,carlosperate/ardublockly,"['arduino', 'block', 'blockly', 'arduino-ide', 'visual-programming', 'visual-programming-language', 'desktop-application', 'desktop-app']"
65,jostasik/Flowgorithm-macOS,"['flowgorithm', 'homebrew', 'flowcharts', 'flowgorithm-for-mac', 'graphical-programming', 'learn-to-code', 'tony-gaddis', 'visual-programming', 'devincook']"
66,emilwidlund/wire,"['visual', 'node-editor', 'graph-editor', 'nodes', 'reactive', 'framework', 'javascript', 'typescript', 'processing', 'wire']"
67,TheLogicMaster/robot-recharge,"['libgdx', 'android', 'blockly', 'puzzle-game', 'robot', 'python', 'php', 'javascript', 'ios', 'lua', 'marytts', 'jython', 'gwt', 'duktape', 'chaquopy', 'luaj', 'ruby', 'jcef', 'gamejolt', 'programming-game']"
68,hlang-tech/hlang,"['creative-coding', 'fbp-protocol', 'fbp-runtime', 'flow', 'flow-based', 'flow-based-programming', 'javascript', 'visual-programming', 'visual-programming-language', 'internal-dsl', 'ai-flow', 'ai-orchestration', 'agent-based-framework', 'llm', 'multi-agent-systems', 'agent', 'agents', 'llm-agent', 'llms']"
69,Hihaheho/Desk,"['high-code', 'algebraic-effects', 'functional-programming', 'statically-typed', 'visual-programming']"
70,38/plumber,"['plumber', 'software-framework', 'pipeline-framework', 'dataflow-programming', 'serverless-framework', 'flow-based-programming']"
71,FlexCoreLib/flexcore,"['dataflow-programming', 'cpp', 'cpp14', 'fbp']"
72,vvvv/VL.Devices.Kinect2,"['vl', 'kinect2', 'vvvv', 'visual-programming', 'tracking']"
73,pacifio/hijibiji,"['animation', 'bangla', 'blockly', 'p5js', 'processing', 'visual-programming']"
74,houmain/QML-NodeGraph,"['qml', 'node', 'graph', 'dataflow-programming', 'node-editor']"
75,ElectroBlocks/ElectroBlocks,"['arduino', 'blockly', 'drag-n-drop', 'similutor']"
76,JustinFincher/WWDC20Playground,"['wwdc-scholarship', 'wwdc-scholarship-submissions', 'wwdc', 'swift', 'node-editor', 'shader-editor', 'uikit', 'uikitdynamics']"
77,SCIInstitute/SCIRun,"['c-plus-plus', 'visualization', 'mesh-generation', 'scientific-computing', 'scientific-visualization', 'scientific-computations', 'dataflow-programming', 'python', 'linear-systems', 'forward-problem', 'inverse-problems', 'biomedical', 'open-source', 'boost-libraries', 'cmake', 'qt5', 'qt6']"
78,erkal/kite,"['elm', 'visualization', 'graph-algorithms', 'graph', 'graph-theory', 'graph-editor-gui', 'graph-editor', 'discrete-mathematics', 'combinatorics', 'mathematics', 'recreational-mathematics']"
79,WilliamKarolDiCioccio/fl_nodes,"['dart', 'flutter', 'node-editor', 'visual-scripting']"
80,soraLib/sa-form,"['form', 'lowcode', 'typescript', 'vue3', 'low-code', 'naive-ui', 'vite', 'tailwindcss', 'flow', 'graph-editor', 'diagram']"
81,asyncvlsi/act,"['hardware-description-language', 'asynchronous-vlsi', 'eda', 'vlsi-cad', 'asynchronous-circuits', 'cad', 'hdl', 'circuit-simulator', 'design-automation', 'vlsi', 'chp', 'communicating-hardware-processes', 'prs', 'production-rules', 'dataflow', 'dataflow-programming', 'language']"
82,chainyjs/chainy,"['flow-control', 'flow-based-programming', 'async', 'builtwith-taskgroup', 'chainy-lib', 'chainy']"
83,honix/Pyno,"['python', 'visual-programming']"
84,ajthinking/data-story,"['workbench', 'etl', 'javascript', 'flow-based-programming']"
85,marcel303/framework,"['creative-coding', 'audio-synthesis', 'patching', 'synthesis', 'c-plus-plus', 'binaural', 'shaders', 'graph-editor', 'sound', 'vfxgraph', 'audiograph', 'video-player', 'osc']"
86,jagenjo/webglstudio.js,"['3d', 'webgl', 'editor', 'graph-editor', 'scene-graph', 'webtool', 'webapp', 'rendering', 'shaders']"
87,formfcw/directus-extension-flexible-editor,"['block-editor', 'directus', 'directus-custom-display', 'directus-custom-interface', 'directus-extension', 'editor', 'flexible-content', 'flexible-editor', 'json-editor', 'node-editor', 'prosemirror', 'rich-text', 'rich-text-editor', 'tiptap', 'tiptap-editor', 'wysiwg', 'directus-custom-bundle', 'm2a-editor', 'internal-linking', 'm2a-references']"
88,OttoDIY/blockly,"['ottodiy', 'robot', 'blockly', 'arduino', 'python', 'microbit', 'ottorobot', 'arduino-ide', 'otto-robot', 'standalone']"
89,janbijster/cobble,"['creative-coding', 'node-editor', 'p5', 'p5-js', 'processing']"
90,microBlock-IDE/microBlock-IDE,"['microblock', 'micropython', 'blockly', 'esp32', 'microblock-ide', 'microcontroller']"
91,akimach/tfgraphviz,"['tensorflow', 'tensorboard', 'machine-learning', 'python', 'visualization', 'graphviz', 'deep-learning', 'neural-network', 'dataflow-programming']"
92,lunarcast/lunarbox,"['functional-programming', 'purescript-halogen', 'visual-programming']"
93,NetsBlox/NetsBlox,"['visual-programming-language', 'snap', 'education']"
94,Nelarius/imnodes,"['imgui', 'ui', 'gamedev', 'cpp', 'tool', 'node-editor']"
95,chkworks/awesome-vl,"['vl', 'vvvv', 'dotnet', 'visual-programming', 'creative-coding', 'nuget', 'skia', 'stride', 'awesome']"
96,Nicolas-Constanty/Dnai.Editor,"['editor', 'visual-scripting', 'graph-editor', 'flow-graph', 'flowgraph', 'dataflow-programming', 'qt5', 'graph', 'dataflow', 'node-editor']"
97,LouisCharlesC/mess,"['message-passing', 'publisher-subscriber', 'signal-slot', 'dataflow-programming', 'reactive-programming', 'event-driven-programming', 'observer-pattern', 'publish-subscribe', 'compile-time', 'zero-overhead']"
98,vvvv/VL.glTF,"['vl', 'vvvv', 'gltf-loader', 'gltf2', 'visual-programming']"
99,TsingfunLee/Blockly-games,"['blockly', 'games', 'educational', 'visual-programming']"
100,yutakobayashidev/blockly-bot,"['blockly', 'openai']"
101,PetoiCamp/OpenCat,"['quadruped', 'walking', 'legged-robot', 'arduino', 'stem', 'simulation', 'quadruped-robot-gaits', 'raspberry-pi', 'robotics', 'ai', 'block-coding', 'education', 'iot', 'robot-dog', 'robot-kit', 'robot-pet', 'visual-programming', 'robot-cat', 'robotics-education']"
102,wolfgangmeyers/bloxcode,"['blockly', 'roblox', 'roblox-studio']"
103,miho/VWorkflows,"['javafx', 'flow', 'visualization', 'graph', 'vrl', 'vrl-studio', 'java', 'visual', 'programming', 'flow-based-programming']"
104,dgk/django-business-logic,"['business-rules', 'business-rules-engine', 'blockly', 'business-logic', 'django', 'django-admin', 'django-framework', 'dsl', 'execution-engine', 'mobx', 'no-code', 'no-code-framework', 'python', 'rapid-development', 'rapid-development-framework', 'visual-programming', 'zero-code', 'zero-coding']"
105,diylxy/LiClock,"['arduino', 'blockly', 'esp32', 'iot', 'lua', 'platformio']"
106,rodydavis/lit-node-editor,"['lit', 'node-editor', 'canvas', 'canvas2d']"
107,haroldo-ok/blockly-z80,"['javascript', 'blockly', 'z80', 'assembly']"
108,cross-platform/dspatch,"['stream-processing', 'reactive-programming', 'dataflow', 'dataflow-programming', 'pipelines', 'pipelining', 'flow-based-programming', 'data-driven', 'cross-platform', 'patching', 'graph-processing', 'fbp', 'cpp', 'header-only', 'data-flow']"
109,tsung-wei-huang/DtCraft,"['distributed-systems', 'parallel-computing', 'cluster-computing', 'event-driven-programming', 'reactor', 'streaming', 'dataflow-programming', 'stream-processing-engine', 'network-programming']"
110,CheshireCaat/BASRemote.NET,"['bas', 'bas-remote', 'bas-client', 'bas-remote-control', 'bas-remote-client', 'automation', 'cef', 'browser', 'macros', 'visual-programming-language', 'bot', 'bot-framework', 'poster', 'grabber', 'ide', 'windows', 'desktop', 'chromium', 'imacros', 'browserautomationstudio']"
111,silexlabs/Silex,"['javascript', 'website-builder', 'nodejs', 'webdesign', 'design', 'saas', 'silex', 'no-code', 'nocode', 'grapesjs', 'visual', 'visual-programming', 'composable', 'jamstack']"
112,maxosprojects/cozmo-blockly,"['cozmo', 'cozmo-sdk', 'blockly', 'programming', 'learn-to-code']"
113,enso-org/ide,"['enso', 'ide', 'enso-studio', 'webgl', 'rust', 'ensogl', 'visual-programming', 'hacktoberfest']"
114,MCreator/MCreator,"['mcreator', 'minecraft', 'code-generator', 'ide', 'minecraft-tool', 'stem', 'blockly', 'mod-maker']"
115,mocabe/yave,"['functional-language', 'multimedia-processing', 'frp', 'visual-programming-language', 'visual-programming', 'functional-reactive-programming']"
116,GooGee/Code-Builder,"['typescript', 'visual-programming']"
117,blueju/gg-editor,"['ggeditor', 'gg-editor', 'chinese', 'docs', 'documents', 'g6', 'alibaba', 'graph', 'graph-editor', 'canvas', 'chart', 'flowchart']"
118,vvvv/VL.OpenCV,"['vl', 'opencv', 'visual-programming', 'computer-vision', 'vvvv']"
119,The-Pocket/PocketFlow,"['open-source', 'agents', 'ai', 'flow-based-programming', 'flow-engineering', 'llm', 'llm-agent', 'llm-framework', 'llm-workflow', 'rag', 'agentic-workflow', 'framework']"
120,Bitspark/slang,"['fbp', 'flow-based-programming', 'visual-programming', 'slang', 'visual-programming-language', 'visualization', 'flow-control']"
121,vvvv/VL.DemoLib,"['vl', 'visual-programming', 'vvvv']"
122,simeonradivoev/Code-Node-Editor,"['unity3d-editor', 'unity', 'csharp', 'code-generation', 'codedom', 'node-editor']"
123,microsoft/data-science-editor,"['blockly', 'data', 'science']"
124,DuncanCragg/OnexApp,"['programming-language', 'end-user-programming', 'visual-programming', 'android-app', 'onex', 'object-network']"
125,sonnylazuardi/app-sense,"['react', 'react-native', 'android', 'ios', 'expo', 'app', 'mobile-app', 'blockly']"
126,StitchDesign/Stitch,"['designtools', 'visual-programming-language', 'design', 'design-systems', 'prototyping', 'swiftui', 'tools', 'visualprogramming', 'vpl']"
127,hydrosquall/code-maps-frontend,"['diagrams', 'frontend-development', 'architecture-visualization', 'visual-programming']"
128,noflo/noflo,"['noflo', 'fbp', 'etl-framework', 'flow-based-programming', 'nocode']"
129,zenustech/zeno,"['node-editor', 'cpp', 'vfx', 'graphics', 'simulation', 'dataflow-programming', 'visualization', '3d', 'rendering']"
130,polygonjs/polygonjs,"['webgl', '3d', 'node-based', 'animation', 'procedural', 'threejs', 'javascript', 'geometry-processing', 'nocode', 'glsl', 'rendering', 'creative-coding', 'computer-graphics', 'procedural-generation', 'tech-art', '3d-engine', 'webgl-library', 'visual-programming']"
131,cross-platform/dspatchables,"['stream-processing', 'reactive-programming', 'dataflow', 'dataflow-programming', 'pipelines', 'pipelining', 'flow-based-programming', 'data-driven', 'cross-platform', 'fbp', 'graph-processing', 'patching', 'cpp', 'data-flow']"
132,retejs/rete-studio,"['codegen', 'code-generation', 'visual-programming']"
133,eclipse-zenoh-flow/zenoh-flow,"['dataflow-programming', 'robotics', 'machine-learning', 'data-science', 'autonomous-vehicles', 'ros2', 'rust-lang']"
134,ignatandrei/BlocklyAutomation,"['blockly', 'visualprogramming', 'openapi3', 'openapi', 'automation', 'localhost', 'macros', 'swagger', 'csharp', 'java', 'php', 'webapi', 'visualapi']"
135,erlerobot/robot_blockly,"['ros', 'robot', 'blockly', 'scratch']"
136,jerosoler/Drawflow,"['flow', 'javascript', 'javascript-library', 'flow-based-programming', 'flowchart', 'visual-programming', 'dataflow-programming', 'graph-editor', 'dataflow', 'drawflow', 'editor', 'vue', 'nodebased']"
137,agraef/purr-data,"['pd-l2ork', 'purr-data', 'pure-data', 'dataflow-programming', 'multimedia', 'computer-music']"
138,XBagon/PIPES,"['programming-language', 'esoteric-language', 'esoteric-programming-language', 'esoteric', 'visual-programming', 'visual-programming-language', 'multi-dimensional', '2d-programming-language']"
139,vvvv/VL.Devices.RealSense,"['vl', 'realsense', 'visual-programming', 'tracking', 'vvvv']"
140,JustusUlbrich/Leuchtknoten-ui,"['react', 'ws281x', 'node-editor']"
141,zekeriyasari/Causal.jl,"['julia-package', 'simulation-modeling', 'dynamical-systems', 'causal-modelling', 'flow-based-programming']"
142,nipy/nipype,"['python', 'workflow-engine', 'brain-imaging', 'big-data', 'dataflow', 'data-science', 'dataflow-programming', 'neuroimaging', 'brainweb']"
143,MyLibreLab/MyLibreLab,"['myopenlab', 'desktop-application', 'visual-programming', 'dataflow-programming', 'microcontroller-programming', 'microprocessor-lab', 'arduino', 'raspberry-pi', 'java', 'linux', 'macos', 'windows', 'hacktoberfest']"
144,kovacsv/VisualScriptEngineWxWidgets,"['node-editor', 'visual-scripting', 'cpp', 'wxwidgets']"
145,nwoeanhinnogaehr/flow-synth,"['daw', 'livecoding', 'audio', 'rust', 'synthesizer', 'modular', 'flow-based-programming', 'live-coding']"
146,maet3608/nuts-flow,"['python', 'flowframework', 'flow-based-programming', 'iterators', 'itertools', 'functional-programming']"
147,TotallyInformation/node-red-contrib-uibuilder,"['node-red', 'websockets', 'javascript', 'html', 'ui', 'website', 'webapp', 'web-application', 'web-app', 'dashboard', 'data-driven', 'flow-based-programming', 'css', 'low-code', 'no-code', 'zero-code', 'web-components']"
148,jagenjo/litegraph.js,"['graph', 'modular', 'javascript', 'visual-programming', 'nodes', 'workflow', 'blueprints', 'nodejs', 'node-graph', 'visual', 'editor', 'graphs', 'canvas2d', 'nocode']"
149,xgraph-vip/xgraph.vip,"['flowchart', 'formula-parser', 'flow-based-programming']"
150,eez-open/studio,"['scpi-commands', 'scpi-instrument', 'instrument-extensions', 'eez-studio', 'lvgl', 'flow-based-programming']"
151,KAJdev/node-diffusion,"['ai', 'gpt-3', 'graph-visualization', 'ml', 'nextjs', 'node-editor', 'react-flow', 'stable-diffusion']"
152,openmusic-project/openmusic,"['computer-aided-composition', 'visual-programming', 'music', 'openmusic']"
153,frame-js/Frame,"['frame', 'orm', 'library', 'flow', 'flow-based-programming', 'flow-control', 'databases', 'api', 'utilities', 'schema', 'object', 'chainable', 'monad', 'bootstrap', 'turn-based', 'microcosm', 'declarative', 'javascript']"
154,JC-Orozco/BlocksIDE,"['blockly', 'javascript', 'roundtrip', 'ide']"
155,nilaysavant/yew-flow,"['no-code', 'node-editor', 'rust', 'rust-lang', 'rust-library', 'yew', 'yew-framework']"
156,code-dot-org/code-dot-org,"['blockly', 'computer', 'science', 'educational', 'online', 'learning', 'code', 'studio', 'coding']"
157,0x0c/AeonNodeEditor,"['iot', 'iot-platform', 'iot-framework', 'editor', 'visual-programming-language', 'visual-programming']"
158,IndiePython/nodezator,"['python3', 'app', 'application', 'desktop', 'desktop-app', 'desktop-application', 'gui', 'nodes', 'pygame', 'pygame-application', 'python', 'open-source', 'unlicense', 'unlicense-license', 'graph', 'node-editor', 'pygame-ce', 'public-domain', 'python-node-editor']"
159,parallaxinc/BlocklyProp,"['propeller', 'parallax-propeller', 'blockly']"
160,Bitspark/slang-ui,"['visual-programming-language', 'slang', 'dataflow', 'flow-based-programming']"
161,cytrinc/bark-coding,"['coding', 'visual', 'blockly']"
162,vvvv/vvvv-sdk,"['visual-programming', 'c-sharp', 'vvvv', 'visual-programming-language']"
163,qkmaxware/Blazor-NodeEditor,"['blazor', 'node-editor', 'component-library']"
164,ocadotechnology/rapid-router,"['educational-game', 'education', 'python', 'django', 'blockly', 'primary-school', 'edtech', 'hacktoberfest']"
165,jpaulm/fbp-tutorial-filter-file,"['flow-based-programming', 'fbp', 'visual-programming', 'tutorial']"
166,Ridermansb/blockly-shell,"['blockly', 'reactjs', 'webpack2']"
167,kyleparisi/Fluxion,"['flow-based-programming', 'javascript', 'nodejs', 'electron']"
168,aseba-community/aseba,"['robotics', 'education', 'k12', 'iot-framework', 'ide', 'visual-programming']"
169,zenoverflow/omnichain,"['ai', 'llms', 'open-source', 'self-hosted', 'visual-programming', 'ollama', 'openai-api', 'groq-api', 'lm-studio', 'oobabooga', 'openai']"
170,nonoesp/DynamoNodeModelsEssentials,"['dynamo', 'dynamobim', 'packages', 'package-creation', 'autodesk', 'visual-programming']"
171,konimarti/flow,"['observer', 'golang', 'streaming', 'stream-processing', 'notifications', 'real-time', 'data-processing', 'pipeline', 'filter', 'publish-subscribe', 'sensor', 'sensor-monitor', 'sensors-data-collection', 'pipelines', 'flow', 'flow-control', 'flow-based-programming']"
172,streamr-dev/core-api,"['streamr', 'realtime', 'pubsub', 'realtime-messaging', 'blockchain', 'decentralized', 'analytics', 'visual-programming']"
173,technologiescollege/Blockly-at-rduino,"['arduino', 'education', 'blockly']"
174,miroiu/nodify,"['wpf', 'node-editor', 'mvvm', 'controls', 'vpl', 'editor', 'visual-programming', 'flow-based-programming', 'calculator', 'state-machine', 'infinite-canvas', 'graph', 'node-network', 'good-first-issue', 'panning', 'graph-control', 'net6', 'zooming', 'node-graph']"
175,dead-beef/graph-editor,"['frontend-components', 'graph-editor', 'd3', 'd3-visualization', 'd3v5']"
176,flydelabs/flyde,"['flow-based', 'flow-based-programming', 'reactive-programming', 'visual', 'visual-programming', 'visual-studio-code', 'vscode', 'visual-programming-editor', 'visual-programming-language', 'vscode-extension']"
177,turbofuro/turbofuro,"['low-code', 'programming-language', 'rust', 'visual-programming-language']"
178,d3cod3/Mosaic,"['osx', 'linux', 'creative-coding', 'video', 'audio', 'graphics', 'live-coding', 'visual-programming', 'windows', 'transmedia', 'openframeworks', 'mosaic']"
179,CoderBotOrg/backend,"['rapid-development', 'raspberry-pi', 'python', 'blockly', 'coderbot', 'programmable', 'robot', 'visual-coding', 'gui-programming']"
180,DFiantHDL/DFHDL,"['hdl', 'dataflow', 'dataflow-programming', 'fpga', 'asic']"
181,mitevpi/gh-web-ui,"['grasshopper', 'rhino', '3d', 'html', 'ui', 'interface', 'visual-programming', 'ui-ux', 'dotnet', 'csharp', 'html5', 'css', 'vue', 'javascript', 'dom', 'web', 'no-code', 'aec', 'rhino3d', 'gh3d']"
182,TutoriaLLM/TutoriaLLM,"['blockly', 'educational', 'llm', 'project']"
183,lgrcia/prairie,"['visual-programming', 'data-processing', 'scientific-visualization', 'python']"
184,simeonradivoev/UIElementNodeGraph,"['unity3d-editor', 'unity', 'csharp', 'node-editor']"
185,ComNetsHH/FlowEmu,"['network-emulator', 'flow-based-programming', 'active-queue-management']"
186,trrahul/nodify-avalonia,"['avalonia', 'avaloniaui', 'mvvm', 'node-editor']"
187,theronic/hoist,"['datalog', 'clojure', 'lisp', 'visual-programming', 'excel', 'provenance']"
